"brand";"model";"price";"camq";"proq";"batq";"romq";"disq";"ramq";"cat";"cam";"ram";"pro";"bat";"dis";"rom";"os";"col";"rat";"pur1";"pur2"
"One Plus";"7 pro(6GB,128GB)";48999.0;"1000";"1000";"1000";"0100";"1000";"0100";"01111";"48+8+16,16";"6";"Qualcomm Snapdragon 855";4000;6.67;"128";"Android 9.0 Pie";"Mirror Grey,Almond,Nebula blue";9.0;"https://amzn.to/2LABgOX";"NIL"
"One Plus";"7 pro(8GB,256GB)";52999.0;"1000";"1000";"1000";"1000";"1000";"1000";"01111";"48+8+16,16";"8";"Qualcomm Snapdragon 855";4000;6.67;"256";"Android 9.0 Pie";"Mirror Grey,Almond,Nebula blue";9.2;"https://amzn.to/2GmFwxD";"NIL"
"One Plus";"7 pro (12GB,256GB)";57999.0;"1000";"1000";"1000";"1000";"1000";"1000";"01111";"48+8+16,16";"12";"Qualcomm Snapdragon 855";4000;6.67;"256";"Android 9.0 Pie";"Mirror Grey,Almond,Nebula blue";9.4;"https://amzn.to/2XSTphO";"NIL"
"One Plus";"7 (6GB,128GB)";32999.0;"0100";"1000";"1000";"0100";"1000";"0100";"00111";"48+5,16";"6";"Qualcomm Snapdragon 855";3700;6.41;"128";"Android 9.0 Pie,Oxygen OS";"Mirror Grey,Mirror blue,Red";8.2;"https://amzn.to/2LZSVz0";"NIL"
"One Plus";"7 (8GB,256GB)";37999.0;"0100";"1000";"1000";"1000";"1000";"1000";"00111";"48+5,16";"8";"Qualcomm Snapdragon 855";3700;6.41;"256";"Android 9.0 Pie,Oxygen OS";"Mirror Grey,Mirror blue,Red";8.4;"https://amzn.to/2GlHFcM";"NIL"
"One Plus";"6T (8GB,256GB)";37999.0;"1000";"1000";"1000";"1000";"1000";"1000";"01111";"16+20,16";"8";"Qualcomm Snapdragon 845";3700;6.41;"256";"Android 9.0 Pie,Oxygen OS";"Midnight black,Mirror black";8.6;"https://amzn.to/2M4Ku5u";"NIL"
"One Plus";"6T (6GB,128GB)";37999.0;"1000";"1000";"1000";"0100";"1000";"0100";"01111";"16+20,16";"8";"Qualcomm Snapdragon 845";3700;6.41;"256";"Android 9.0 Pie,Oxygen OS";"Midnight black,Mirror black";8.4;"https://amzn.to/2M4Ku5u";"NIL"
"Xiaomi";"Redmi Note 5(3GB,32GB)";9399.0;"0010";"0010";"0100";"0001";"0100";"0001";"10100";"12,5";"3";"Qualcomm Snapdragon 625";4000;5.99;"32";"Android 7.0,MIUI";"Black,Gold,Lake Blue,Rose Gold";7.4;"https://amzn.to/2Swx2J1";"https://bit.ly/2Y2MgGF"
"Xiaomi";"Redmi Note 5(4GB,64GB)";10149.0;"0010";"0010";"0100";"0010";"0100";"0010";"10100";"12,5";"4";"Qualcomm Snapdragon 625";4000;5.99;"64";"Android 7.0,MIUI";"Black,Gold,Lake Blue,Rose Gold";7.6;"https://amzn.to/2Swx2J1";"https://bit.ly/2Y2MgGF"
"Xiaomi";"Redmi Note 5 Pro(4GB,64GB)";11999.0;"0010";"0100";"0100";"0010";"0100";"0010";"10100";"12+5,20";"4";"Qualcomm Snapdragon 636";4000;5.99;"64";"Android 7.1.1,MIUI";"Black,Gold,Lake Blue,Rose Gold";7.6;"https://amzn.to/2JGkAng";"https://bit.ly/2SCYRQ5"
"Xiaomi";"Redmi Note 5 Pro(6GB,64GB)";12999.0;"0010";"0100";"0100";"0010";"0100";"0100";"10100";"12+5,20";"6";"Qualcomm Snapdragon 636";4000;5.99;"64";"Android 7.1.1,MIUI";"Black,Gold,Lake Blue,Rose Gold";7.8;"https://amzn.to/2JGkAng";"https://bit.ly/2SCYRQ5"
"Xiaomi";"Redmi Note 6 Pro(4GB,64GB)";11999.0;"0010";"0100";"0100";"0010";"0100";"0010";"10100";"12+5,20+2";"4";"Qualcomm Snapdragon 636";4000;6.26;"64";"Android 8.1,MIUI";"Black,Gold,Lake Blue,Rose Gold";7.6;"NIL";"https://bit.ly/30Pp40D"
"Xiaomi";"Redmi Note 6 Pro(6GB,64GB)";13999.0;"0010";"0100";"0100";"0010";"0100";"0100";"10100";"12+5,20+2";"6";"Qualcomm Snapdragon 636";4000;6.26;"64";"Android 8.1,MIUI";"Black,Gold,Lake Blue,Rose Gold";7.8;"NIL";"https://bit.ly/30Pp40D"
"Xiaomi";"Redmi Note 7(4GB,64GB)";13695.0;"0100";"0100";"1000";"0010";"0100";"0010";"11100";"12+2,13";"4";"Qualcomm Snapdragon 660 AIE Processor";4000;6.3;"64";"Android Pie,MIUI";"Sapphire Blue,Onyx Black,Ruby Red";8.0;"https://amzn.to/2M4Ec5Y";"https://bit.ly/2LzwdP1"
"Xiaomi";"Redmi Note 7(3GB,32GB)";12999.0;"0100";"0100";"1000";"0001";"1000";"0001";"11100";"12+2,13";"3";"Qualcomm Snapdragon 660 AIE Processor";4000;6.3;"32";"Android Pie,MIUI";"Sapphire Blue,Onyx Black,Ruby Red";7.8;"https://amzn.to/2M4Ec5Y";"https://bit.ly/2LzwdP1"
"Xiaomi";"Redmi Note 7 Pro(4GB,64GB)";13999.0;"0100";"0100";"0100";"0010";"1000";"0010";"11100";"48+5,13";"4";"Qualcomm Snapdragon 675";4000;6.3;"64";"Android Pie,MIUI";"Neptune Blue,Space Black,Nebula Red";8.2;"https://amzn.to/2M4Ec5Y";"https://bit.ly/2GmYHae"
"Xiaomi";"Redmi Note 7 Pro(6GB,128GB)";17999.0;"0100";"0100";"0100";"0100";"1000";"0100";"11100";"48+5,13";"6";"Qualcomm Snapdragon 675";4000;6.3;"128";"Android Pie,MIUI";"Neptune Blue,Space Black,Nebula Red";8.2;"https://amzn.to/2M4Ec5Y";"https://bit.ly/2GmYHae"
"Xiaomi";"Redmi K20 Pro(6GB,64GB)";21999.0;"0100";"1000";"1000";"0010";"1000";"0100";"11110";"48+13+8,20";"6";"Qualcomm Snapdragon 730";4000;6.39;"64";"Android Pie,MIUI";"Glacier Blue,Carbon Black,Flame Red";8.4;"NIL";"https://bit.ly/2O6Jf8J"
"Xiaomi";"Redmi K20 Pro(6GB,128GB)";27999.0;"0100";"1000";"1000";"0100";"1000";"0100";"11111";"48+13+8,20";"6";"Qualcomm Snapdragon 855";4000;6.39;"128";"Android Pie,MIUI";"Glacier Blue,Carbon Black,Flame Red";8.6;"NIL";"https://bit.ly/2O6Jf8J"
"Xiaomi";"Redmi K20 Pro(8GB,256GB)";30999.0;"0100";"1000";"1000";"1000";"1000";"1000";"01111";"48+13+8,20";"8";"Qualcomm Snapdragon 855";4000;6.39;"256";"Android Pie,MIUI";"Glacier Blue,Carbon Black,Flame Red";9.0;"NIL";"https://bit.ly/2O6Jf8J"
"Xiaomi";"Redmi K20 Pro(6GB,128GB)";23999.0;"0100";"1000";"1000";"0100";"1000";"0100";"01110";"48+13+8,20";"6";"Qualcomm Snapdragon 730";4000;6.39;"128";"Android Pie,MIUI";"Glacier Blue,Carbon Black,Flame Red";8.6;"NIL";"https://bit.ly/2O6Jf8J"
"Samsung";"S6 Edge(3GB,32GB)";37299.0;"0100";"0010";"0010";"0001";"0010";"0001";"00001";"16,5";"3";"Octa Core 2.1GHz";2600;5.1;"32";"Android 5.0 Lollipop";"Black Sapphire,White Pearl";6.0;"NIL";"https://bit.ly/32D8PFw"
"Samsung";"S7 Edge(4GB,32GB)";54000.0;"0100";"0010";"0010";"0001";"0010";"0010";"01001";"12,5";"4";"Octa Core 1.6 GHz";3000;5.5;"32";"Android 6.0 Marshmellow";"Gold Platinum,Silver Titanium,Black Onyx,Blue Coral,Pink Gold";7.0;"NIL";"https://bit.ly/32D8PFw"
"Samsung";"S8 Edge(4GB,64GB)";53990.0;"1000";"0100";"0001";"0010";"1000";"0010";"01001";"12,8";"4";"Exynos 8895,Octa Core 2.3GHz";3500;5.8;"64";"Android 7.0";"Orchid Grey,Maple Gold,Midnight Black,Coral Blue";7.4;"https://amzn.to/2Z4QvTo";"https://bit.ly/2O4IBIK"
"Samsung";"S9 Edge(6GB,64GB)";49990.0;"1000";"0100";"0010";"0010";"1000";"0100";"01001";"12+12,8";"6";"Exynos 9810,Octa Core 2.3GHz";3500;6.2;"64";"Android 8.0";"Burgundy Red,Lilac Purple,Midnight Black,Coral Blue";8.0;"https://amzn.to/2GkYswE";"https://bit.ly/2XViatt"
"Samsung";"Galaxy S10 (8GB,128GB)";61990.0;"1000";"1000";"0100";"0100";"1000";"1000";"01101";"12+12+16,10";"6";"Exynos 9820";3400;6.1;"128";"Android 9.0 Pie";"Burgundy Red,Lilac Purple,Midnight Black,Coral Blue";8.8;"https://amzn.to/2Oa68Z1";"NIL"
"Samsung";"Galaxy S10 Plus (8GB,128GB)";73990.0;"1000";"1000";"1000";"0100";"1000";"1000";"01101";"12+12+16,10+8";"6";"Exynos 9820";4100;6.4;"128";"Android 9.0 Pie";"Black,Ceramic Black,White,Ceramic White, Blue";9.4;"https://amzn.to/2GoHD3P";"NIL"
"Samsung";"Galaxy S10 Plus (12GB,1TB)";114999.0;"1000";"1000";"1000";"1000";"1000";"1000";"01101";"12+12+16,10+8";"12";"Exynos 9820";4100;6.4;"1024";"Android 9.0 Pie";"Black,Ceramic Black,White,Ceramic White, Blue";9.6;"https://amzn.to/2GoHD3P";"NIL"
"Samsung";"Galaxy S10 Plus (8GB,512GB)";76990.0;"1000";"1000";"1000";"1000";"1000";"1000";"01101";"12+12+16,10+8";"8";"Exynos 9820";4100;6.4;"512";"Android 9.0 Pie";"Black,Ceramic Black,White,Ceramic White, Blue";9.2;"https://amzn.to/2GoHD3P";"NIL"
"Samsung";"Galaxy Note 9(6GB,128GB)";61499.0;"1000";"1000";"1000";"0100";"1000";"0100";"01101";"12,8";"6";"Exynos 9810";4000;6.4;"128";"Android 8.1";"Midnight Black, Metallic Copper, Ocean Blue, Lavender Purple";9.0;"https://amzn.to/2JWv80d";"https://bit.ly/2GjOE5W"
"Samsung";"Galaxy Note 9(8GB,512GB)";77900.0;"1000";"1000";"1000";"1000";"1000";"1000";"01101";"12+12,8";"8";"Exynos 9810";4000;6.4;"512";"Android 8.1";"Midnight Black, Metallic Copper, Ocean Blue, Lavender Purple";9.4;"https://amzn.to/2JWv80d";"https://bit.ly/2GjOE5W"
"Samsung";"Galaxy Note 8(6GB,64GB)";36990.0;"1000";"1000";"0100";"0010";"1000";"0100";"01101";"12+12,8";"6";"Exynos 8895";3300;6.3;"64";"Android 7.1.1";"Midnight Black, Metallic Copper, Ocean Blue, Lavender Purple";9.0;"NIL";"https://bit.ly/2xY05fb"
"Samsung";"Galaxy On 8(4GB,64GB)";11990.0;"0010";"0100";"0010";"0010";"0010";"0100";"10000";"16+5,16";"4";"Qualcomm Snapdragon 450";3500;6.0;"64";"Android 8.0";"Black,Blue";6.8;"NIL";"https://bit.ly/30SjiLL"
"Samsung";"Galaxy A30(4GB,64GB)";15490.0;"0001";"0010";"0100";"0010";"0100";"0010";"00000";"16+5,16";"4";"Qualcomm Snapdragon 450";3500;6.4;"64";"Android Pie,ONE UI";"Black,Blue,Red";6.6;"NIL";"https://bit.ly/2SrsMum"
"Samsung";"Galaxy M40(6GB,128GB)";19990.0;"0010";"0100";"1000";"0100";"0100";"0100";"10100";"32+5+8,16";"6";"Qualcomm Snapdragon 675";3500;6.3;"128";"Android Pie,ONE UI";"Midnight Blue, Seawater Blue, Cocktail Orange";8.4;"https://amzn.to/2SxK4pM";"NIL"
"Samsung";"Galaxy M30(4GB,64GB)";13990.0;"0010";"0010";"1000";"0010";"0100";"0010";"00100";"13+5,16";"4";"Exynos 7904";5000;6.4;"64";"Android 8.1,ONE UI";"Midnight Blue, Seawater Blue, Cocktail Orange";7.8;"https://amzn.to/2y6sob3";"NIL"
"Samsung";"Galaxy M20(4GB,64GB)";11990.0;"0001";"0010";"1000";"0010";"0100";"0010";"00100";"13+5,8";"4";"Exynos 7904";5000;6.3;"64";"Android 8.1,ONE UI";"Midnight Blue, Seawater Blue, Cocktail Orange";7.0;"https://amzn.to/30IPeSD";"NIL"
"Samsung";"Galaxy A10(2GB,32GB)";7990.0;"0001";"0001";"0100";"0001";"0010";"0001";"00000";"13,5";"2";"Exynos 7884";3400;6.2;"32";"Android Pie,ONE UI";"Midnight Blue, Seawater Blue, Cocktail Orange";5.8;"https://amzn.to/2xXPaC4";"NIL"
"Samsung";"Galaxy A50(4GB,64GB)";18490.0;"0010";"0100";"1000";"0010";"0100";"0010";"00100";"25+5+8,25";"4";"Exynos 9610";4000;6.4;"64";"Android Pie,ONE UI";"Blue,White,Black";7.6;"https://amzn.to/2XXgv6U";"NIL"
"moto";"G4";11000.0;"0010";"0010";"0010";"0010";"0010";"0010";"10000";"13";"4";"snapdragon 426";4000;5.0;"64";"android 7.0";"black";7.0;"NIL";"NIL"
